Gene,Phase C p-value,Phase C effect,Phase C fold-change,Phase D p-value,Phase D effect,Pct cells,Phase,Highly expressed C+,Highly expressed C-,De-repressed phase D,Case-control p-value,Case-control fold-change
ATP5E,0.00164,-0.003083225,0.63,1.42e-20,2.454785,9.55,D,N,N,N,0.00107,0.305
ATP5H,0.857,-8.765515e-05,0.987,9.01e-11,1.010684,32.22,D,N,N,N,0.000177,0.343
ATP5I,1.56e-06,-0.002712396,0.666,4.41e-18,1.352626,32.81,D,N,N,N,0.000341,0.389
ATP5J,0.666,0.0001628233,1.025,3.09e-12,0.8274768,53.66,D,N,N,N,3.03e-06,0.37
ATP5J2,0.822,-0.0001564722,0.977,2.79e-12,1.438741,13.51,D,N,N,N,0.0112,0.528
ATP5O,0.473,-0.0004907405,0.929,1.7e-17,1.678218,14.81,D,N,N,N,0.000473,0.388
ATP6AP1,0.0183,0.0009817587,1.159,1.3e-14,1.015947,36.18,D,N,N,N,0.661,0.989
ATP6V0A1,1.96e-09,0.0006969974,1.11,3.14e-11,0.261513,99.88,D,N,N,N,0.0444,1.054
ATP6V0B,0.972,-1.620209e-05,0.998,3.99e-21,1.329822,27.75,D,N,N,N,0.563,1.415
ATP6V1F,0.749,0.0001955451,1.03,6e-15,1.421394,19.2,D,N,N,N,0.0019,0.593
ATP6V1G1,0.926,-3.26863e-05,0.995,1.11e-11,0.7532165,51.93,D,N,N,N,0.000412,0.751
AURKAIP1,0.307,-0.001293019,0.824,1.37e-12,2.469438,3.45,D,N,N,N,0.00058,0.59
B2M,0.0374,-0.003119238,0.626,1.48e-15,3.011291,4.65,D,N,N,N,0.000118,1.193
B4GAT1,0.089,0.0008378251,1.134,1.8e-12,1.065248,28.01,D,N,N,N,0.723,1.207
BAG3,0.138,-0.004662429,0.497,3.8e-11,5.934973,0.47,D,N,N,N,0.00601,0.168
BANF1,0.644,0.000419669,1.065,1.15e-11,1.892577,6.81,D,N,N,N,0.000724,0.562
BCAS1,5.82e-06,-0.01147723,0.179,7e-27,7.012514,2.33,D,N,N,N,0.577,1.555
BDH2,0.00143,-0.006506633,0.377,2.19e-34,7.908307,1.02,D,N,N,Y,0.838,1.823
BEST1,0.308,-0.00153241,0.795,7.22e-21,3.967239,2.04,D,N,N,N,0.105,1.08
BEX1,0.958,-1.859033e-05,0.997,3.41e-22,1.050596,59.38,D,N,N,N,2.6e-05,0.483
BEX3,0.0936,0.0004749407,1.074,1.17e-19,0.8184826,76.11,D,N,N,N,2.37e-05,0.505
BEX4,0.0387,0.0005996054,1.094,3.4e-13,0.6723595,68.11,D,N,N,N,1.52e-05,0.613
BMP7,0.0107,-0.005373522,0.447,6.06e-22,5.05409,1.43,D,N,N,N,0.00262,0.621
BMPR1B,0.584,-0.0009090073,0.873,1.25e-26,5.455098,2.06,D,N,N,N,0.989,1.295
BTF3,0.823,-0.0001211359,0.982,1.39e-15,1.329886,24.16,D,N,N,N,7e-05,0.427
BTG1,0.0512,-0.001038182,0.856,3.38e-14,1.221074,32.26,D,N,N,N,0.728,0.992
